X,Y,Z
-3.925781,-1.026897,-70.699
-3.691406,-0.8934946,-70.699
-3.652375,-0.8528085,-70.699
-3.473521,-0.8317009,-70.699
-3.368252,-0.770924,-70.699
-3.290119,-0.6778084,-70.699
-3.248545,-0.5635853,-70.699
-3.264335,-0.3831014,-70.699
-3.325112,-0.2778328,-70.699
-3.417091,-0.2004954,-70.699
-3.329504,-0.1351563,-70.699
-3.457031,-0.04606164,-70.699
-3.925781,0.1869493,-70.699
-4.160156,0.2238467,-70.699
-4.394531,0.2710458,-70.699
-4.544573836, 0.3405963443271972,-70.699
-3.875716,0.499493,-70.699
-3.62237,0.5441389,-70.699
-3.499477,0.5754066,-70.699
-3.337191,0.5263173,-70.699
-2.973223,0.460213,-70.699
-2.886894,0.4555325,-70.699
-2.556739,0.3988345,-70.699
-2.329977,0.3132775,-70.699
-2.133746,0.2789042,-70.699
-1.778202,0.1834482,-70.699
-1.531816,0.1335479,-70.699
-1.254808,0.1279595,-70.699
-1.142328,0.1010906,-70.699
-0.8320064,0.09529763,-70.699
-0.7203831,0.06863328,-70.699
-0.2113679,0.06052055,-70.699
0.014557980000000002,-0.06815246,-70.699
0.21207769999999998,-0.2495584,-70.699
0.4865965310597867,-0.462819613,-70.699
-3.672706,-0.1351563,-70.399
-3.909745,-0.2369897,-70.399
-3.856567,-0.3051505,-70.399
-3.814993,-0.4193737,-70.399
-3.814993,-0.5409274,-70.399
-3.856567,-0.6551505,-70.399
-3.9347,-0.7482661,-70.399
-4.093675,-0.8382813,-70.399
-4.394531,-1.133854,-70.399
-4.628906,-1.428214,-70.399
-4.736013,-1.541406,-70.399
-4.885326,-1.775781,-70.399
-4.992956,-2.010156,-70.399
-5.132496,-2.244531,-70.399
-5.150337,-2.478906,-70.399
-5.332031,-2.632431,-70.399
-5.536535,-2.713281,-70.399
-5.800781,-2.854507,-70.399
-5.898089,-2.947656,-70.399
-6.100822,-3.182031,-70.399
-6.169739,-3.416406,-70.399
-6.175253,-3.650781,-70.399
-6.115385,-3.885156,-70.399
-5.953213,-4.119531,-70.399
-5.800781,-4.256514,-70.399
-5.566406,-4.389063,-70.399
-5.332031,-4.442946,-70.399
-5.097656,-4.477739,-70.399
-4.863281,-4.49006,-70.399
-4.628906,-4.475504,-70.399
-4.394531,-4.444188,-70.399
-4.160156,-4.370158,-70.399
-3.925781,-4.26524,-70.399
-3.691406,-4.24569,-70.399
-3.457031,-4.289555,-70.399
-2.988281,-4.300103,-70.399
-2.763158,-4.353906,-70.399
-2.519531,-4.423568,-70.399
-2.285156,-4.458141,-70.399
-2.050781,-4.512946,-70.399
-1.950768,-4.588281,-70.399
-1.816406,-4.711979,-70.399
-1.582031,-4.841998,-70.399
-1.347656,-4.91227,-70.399
-1.113281,-4.869314,-70.399
-0.8789063,-4.67071,-70.399
-0.7456656,-4.588281,-70.399
-0.4101563,-4.308333,-70.399
-0.1757813,-4.169922,-70.399
-0.1204069,-4.119531,-70.399
0.08175873,-3.885156,-70.399
0.24047849999999998,-3.650781,-70.399
0.4328377,-3.416406,-70.399
0.5519531,-3.182031,-70.399
0.643521,-2.947656,-70.399
0.6689453000000001,-2.713281,-70.399
0.777107,-2.478906,-70.399
0.788405,-2.010156,-70.399
0.6955832,-1.775781,-70.399
0.6140137,-1.307031,-70.399
0.4889754,-1.2036,-70.399
0.4281986,-1.098332,-70.399
0.407091,-0.9786245,-70.399
0.41240829999999995,-0.8951898,-70.399
0.4539821,-0.7809666,-70.399
0.5321153,-0.6878511,-70.399
0.7047991,-0.6039063,-70.399
0.869489463,-0.565489666,-70.399
0.7349586,-0.456937,-70.399
0.6349586,-0.4092202,-70.399
0.3349585,-0.2175122,-70.399
0.1349585,-0.07390773,-70.399
0.034958539999999996,-0.03465086,-70.399
-0.1650415,0.07083079,-70.399
-0.3650415,0.0955685,-70.399
-0.4650414,0.1218982,-70.399
-0.9650414,0.1875105,-70.399
-1.265041,0.2515298,-70.399
-1.565041, 0.28258700000000003,-70.399
-1.865042,0.3423959,-70.399
-2.365042, 0.38352369999999997,-70.399
-2.565042,0.4224464,-70.399
-2.865042, 0.43033599999999994,-70.399
-3.065042,0.4106305,-70.399
-3.265041, 0.40770280000000003,-70.399
-3.465041,0.4166189,-70.399
-3.865041, 0.32020930000000003,-70.399
-3.965041,0.2749414,-70.399
-4.115533521, 0.23814135726045757,-70.399
-3.925781,0.1565658,-70.399
-3.848772,0.09921875,-70.399
-3.672706,-0.1351563,-70.399
-6.328553,-3.885156,-70.099
-6.035156,-4.185698,-70.099
-5.800781,-4.304444,-70.099
-5.566406,-4.390382,-70.099
-5.332031,-4.382193,-70.099
-5.097656,-4.411786,-70.099
-4.863281,-4.415016,-70.099
-4.628906,-4.404443,-70.099
-4.160156,-4.304525,-70.099
-3.925781,-4.259792,-70.099
-3.691406,-4.25182,-70.099
-3.222656,-4.382193,-70.099
-2.753906,-4.439079,-70.099
-2.519531,-4.47795,-70.099
-2.285156,-4.559422,-70.099
-2.234272,-4.588281,-70.099
-2.050781,-4.735074,-70.099
-1.978431,-4.822656,-70.099
-1.975661,-5.057031,-70.099
-2.050781,-5.174219,-70.099
-2.104048,-5.291406,-70.099
-2.050781,-5.35,-70.099
-1.888021,-5.291406,-70.099
-1.816406,-5.251123,-70.099
-1.347656,-5.216832,-70.099
-1.113281,-5.138986,-70.099
-0.9691541,-5.057031,-70.099
-0.8789063,-4.986928,-70.099
-0.6445313,-4.864509,-70.099
-0.4101563,-4.663681,-70.099
-0.2804688,-4.588281,-70.099
0.05396793,-4.353906,-70.099
0.2997037,-4.119531,-70.099
0.4993785,-3.885156,-70.099
0.6363281,-3.650781,-70.099
0.7931858,-3.416406,-70.099
0.91838,-3.182031,-70.099
1.026933,-2.947656,-70.099
1.089618,-2.713281,-70.099
1.105129,-2.478906,-70.099
1.103754,-1.775781,-70.099
1.085844,-1.552415,-70.099
1.010629,-1.415973,-70.099
0.9774599,-1.227861,-70.099
1.010629,-1.03975,-70.099
1.1061349999999999,-0.8743283,-70.099
1.25246,-0.7515476,-70.099
1.3677709999999998,-0.7034149,-70.099
1.4007953612164405,-0.665775215,-70.099
1.234959,-0.5683337,-70.099
1.1349589999999998,-0.5233298,-70.099
1.034959,-0.4512266,-70.099
0.8349586,-0.3489955,-70.099
0.7349586,-0.3097831,-70.099
0.5349586000000001,-0.2074855,-70.099
0.43495860000000003,-0.1450097,-70.099
0.2349585,-0.05064881,-70.099
0.034958539999999996, 0.027076060000000002,-70.099
-0.2650415, 0.12508360000000002,-70.099
-0.5650414, 0.18400060000000001,-70.099
-0.6650414, 0.22803589999999999,-70.099
-0.8650414,0.2620298,-70.099
-1.065041,0.328507,-70.099
-1.165041,0.3457307,-70.099
-1.465041,0.4353378,-70.099
-1.565041,0.444785,-70.099
-2.065042,0.4664078,-70.099
-2.265042,0.4599272,-70.099
-2.665042,0.4368608,-70.099
-2.765042,0.4196311,-70.099
-2.965042,0.3596086,-70.099
-3.165042,0.3207798,-70.099
-3.265041, 0.29077980000000003,-70.099
-3.565041,0.2419676,-70.099
-3.865041,0.1213427,-70.099
-3.965041,0.06966865,-70.099
-4.14577873,-0.001613691,-70.099
-4.183594,-0.1351563,-70.099
-4.394531,-0.3092309,-70.099
-4.507675,-0.4302788,-70.099
-4.493334,-0.5481243,-70.099
-4.50169,-0.6436307,-70.099
-4.564209,-0.8382813,-70.099
-4.628906,-0.9282948,-70.099
-4.706726,-1.072656,-70.099
-4.870117,-1.307031,-70.099
-5.097656,-1.56804,-70.099
-5.332031,-2.027989,-70.099
-5.403181,-2.244531,-70.099
-5.545537,-2.478906,-70.099
-5.800781,-2.613596,-70.099
-5.959045,-2.713281,-70.099
-6.035156,-2.778616,-70.099
-6.199825,-2.947656,-70.099
-6.355136,-3.182031,-70.099
-6.408098,-3.416406,-70.099
-6.411265,-3.650781,-70.099
-6.328553,-3.885156,-70.099
-2.553243,-5.525781,-69.799
-2.285156,-5.647852,-69.799
-2.050781,-5.837969,-69.799
-1.816406,-5.868913,-69.799
-1.582031,-5.868913,-69.799
-1.347656,-5.837328,-69.799
-1.183998,-5.760156,-69.799
-1.113281,-5.682768,-69.799
-0.8789063,-5.473948,-69.799
-0.7757303,-5.291406,-69.799
-0.6445313,-5.180669,-69.799
-0.5197483,-5.057031,-69.799
-0.4101563,-4.966681,-69.799
0.05859375,-4.680107,-69.799
0.4466392,-4.353906,-69.799
0.6774600000000001,-4.119531,-69.799
0.8779296999999999,-3.885156,-69.799
1.0046680000000001,-3.650781,-69.799
1.121712,-3.416406,-69.799
1.291574,-3.182031,-69.799
1.383281,-2.947656,-69.799
1.41462,-2.713281,-69.799
1.40439,-2.478906,-69.799
1.378191,-2.244531,-69.799
1.367188,-2.010156,-69.799
1.3909369999999999,-1.655366,-69.799
1.345491,-1.557907,-69.799
1.313911,-1.440047,-69.799
1.3032759999999999,-1.318493,-69.799
1.313911,-1.196939,-69.799
1.345491,-1.079079,-69.799
1.397058,-0.9684932,-69.799
1.4670450000000002,-0.8685418,-69.799
1.553325,-0.7822621,-69.799
1.653276,-0.7122754,-69.799
1.763862,-0.6607083,-69.799
1.9440719999999998,-0.6236729,-69.799
1.9871215785924312,-0.591813466,-69.799
1.8988150000000001,-0.5552359,-69.799
1.463549,-0.3996167,-69.799
1.220698,-0.3282944,-69.799
1.0549250000000001,-0.26312,-69.799
0.6912279,-0.1504059,-69.799
0.5265057,-0.05702497,-69.799
0.4021668,-0.01663775,-69.799
0.004378464,0.07515957,-69.799
-0.1230972, 0.11453850000000002,-69.799
-0.3302108,0.1605637,-69.799
-0.5810545, 0.28191160000000004,-69.799
-0.8369925,0.3500802,-69.799
-0.9215717,0.3919374,-69.799
-1.10155,0.4486769,-69.799
-1.295116,0.5415702,-69.799
-1.421395,0.5754066,-69.799
-1.551631,0.5868008,-69.799
-2.116048,0.578688,-69.799
-2.34969, 0.5232159000000001,-69.799
-2.500314,0.4626101,-69.799
-2.687008,0.4314158,-69.799
-2.809857,0.3867023,-69.799
-3.078385, 0.24809160000000002,-69.799
-3.226038,0.1986426,-69.799
-3.62899, 0.041916880000000004,-69.799
-3.767912,-0.05772831,-69.799
-3.899395,-0.1090681,-69.799
-4.038721,-0.1862267,-69.799
-4.296016,-0.2926561,-69.799
-4.474904,-0.3968226,-69.799
-4.654692,-0.4417695,-69.799
