X,Y,Z
-0.688,-12.25748214,-3.2
-1.088,-12.01066667,-3.2
-1.288,-11.85570732,-3.2
-1.538,-11.63938462,-3.2
-1.788,-11.45542857,-3.2
-1.941676472,-11.299,-3.2
-2.106125001,-11.099,-3.2
-2.350209303,-10.749,-3.2
-2.647693879,-10.249,-3.2
-2.715604168,-10.099,-3.2
-2.843500001,-9.849,-3.2
-2.949160715,-9.599,-3.2
-3.070589287,-9.249,-3.2
-3.146333334,-9.099,-3.2
-3.197920636,-8.949,-3.2
-3.230045455,-8.499,-3.2
-3.321680556,-7.999,-3.2
-3.330500001,-7.849,-3.2
-3.358312501,-7.649,-3.2
-3.306103449,-7.399,-3.2
-3.226315218,-7.099,-3.2
-3.197848485,-6.849,-3.2
-3.15075,-6.699,-3.2
-3.052690722,-6.499,-3.2
-2.950096775,-6.349,-3.2
-2.738,-6.130971153,-3.2
-2.588,-6.020822033,-3.2
-2.238,-5.736043795,-3.2
-1.938,-5.530678082,-3.2
-1.738,-5.43196875,-3.2
-1.538,-5.377551136,-3.2
-1.338,-5.355335616,-3.2
-1.188,-5.325741293,-3.2
-0.938,-5.242664383,-3.2
-0.688,-5.236946428,-3.2
-0.438,-5.26969378,-3.2
-0.188,-5.283836065,-3.2
0.4120000000000008,-5.431196969,-3.2
0.7120000000000006,-5.535849711,-3.2
0.9120000000000008,-5.638110429,-3.2
1.2120000000000006,-5.818385026,-3.2
1.4620000000000006,-5.941218543,-3.2
1.9120000000000008,-6.257333333,-3.2
2.0120000000000013,-6.31775,-3.2
2.2620000000000013,-6.430878307,-3.2
2.562000000000001,-6.620783625,-3.2
2.7620000000000013,-6.737207547,-3.2
3.2620000000000013,-7.091931034,-3.2
3.362000000000001,-7.178475308,-3.2
3.718034483103449,-7.549,-3.2
3.963704545833333,-7.849,-3.2
4.177909091176471,-8.149,-3.2
4.228269841534394,-8.249,-3.2
4.271905660691826,-8.399,-3.2
4.2853258930803575,-8.499,-3.2
4.304785235,-8.849,-3.2
4.341237288418081,-9.099,-3.2
4.424581699673204,-9.449,-3.2
4.4371582281645585,-9.549,-3.2
4.445152174275363,-9.799,-3.2
4.518651376605505,-10.049,-3.2
4.5285865389423074,-10.149,-3.2
